%SeriesCode,Period,Value
A065RC,1959M01,"391,771"
A065RC,1959M02,"393,682"
A065RC,1959M03,"396,493"
A065RC,1959M04,"399,871"
A065RC,1959M05,"402,407"
A065RC,1959M06,"404,810"
A065RC,1959M07,"405,423"
A065RC,1959M08,"403,717"
A065RC,1959M09,"405,080"
A065RC,1959M10,"406,572"
A065RC,1959M11,"409,923"
A065RC,1959M12,"414,606"
A065RC,1960M01,"415,703"
A065RC,1960M02,"416,612"
A065RC,1960M03,"417,638"
A065RC,1960M04,"420,607"
A065RC,1960M05,"422,055"
A065RC,1960M06,"422,568"
A065RC,1960M07,"424,089"
A065RC,1960M08,"424,120"
A065RC,1960M09,"424,918"
A065RC,1960M10,"426,665"
A065RC,1960M11,"426,275"
A065RC,1960M12,"424,408"
A065RC,1961M01,"428,289"
A065RC,1961M02,"430,342"
A065RC,1961M03,"431,860"
A065RC,1961M04,"432,537"
A065RC,1961M05,"436,138"
A065RC,1961M06,"440,457"
A065RC,1961M07,"442,671"
A065RC,1961M08,"443,288"
A065RC,1961M09,"444,338"
A065RC,1961M10,"448,688"
A065RC,1961M11,"452,730"
A065RC,1961M12,"455,565"
A065RC,1962M01,"455,977"
A065RC,1962M02,"459,129"
A065RC,1962M03,"462,901"
A065RC,1962M04,"465,800"
A065RC,1962M05,"466,756"
A065RC,1962M06,"467,695"
A065RC,1962M07,"469,694"
A065RC,1962M08,"471,132"
A065RC,1962M09,"473,667"
A065RC,1962M10,"475,693"
A065RC,1962M11,"477,775"
A065RC,1962M12,"479,836"
A065RC,1963M01,"483,972"
A065RC,1963M02,"481,932"
A065RC,1963M03,"483,718"
A065RC,1963M04,"485,015"
A065RC,1963M05,"487,882"
A065RC,1963M06,"491,252"
A065RC,1963M07,"492,508"
A065RC,1963M08,"494,907"
A065RC,1963M09,"498,166"
A065RC,1963M10,"501,894"
A065RC,1963M11,"503,648"
A065RC,1963M12,"508,379"
A065RC,1964M01,"511,280"
A065RC,1964M02,"514,124"
A065RC,1964M03,"517,042"
A065RC,1964M04,"520,572"
A065RC,1964M05,"523,762"
A065RC,1964M06,"526,349"
A065RC,1964M07,"529,893"
A065RC,1964M08,"533,284"
A065RC,1964M09,"536,307"
A065RC,1964M10,"536,933"
A065RC,1964M11,"541,304"
A065RC,1964M12,"547,457"
A065RC,1965M01,"551,491"
A065RC,1965M02,"552,037"
A065RC,1965M03,"555,418"
A065RC,1965M04,"558,583"
A065RC,1965M05,"562,916"
A065RC,1965M06,"566,193"
A065RC,1965M07,"570,421"
A065RC,1965M08,"572,940"
A065RC,1965M09,"587,241"
A065RC,1965M10,"584,901"
A065RC,1965M11,"590,245"
A065RC,1965M12,"595,536"
A065RC,1966M01,"597,697"
A065RC,1966M02,"603,149"
A065RC,1966M03,"607,858"
A065RC,1966M04,"609,461"
A065RC,1966M05,"612,218"
A065RC,1966M06,"616,748"
A065RC,1966M07,"620,432"
A065RC,1966M08,"625,933"
A065RC,1966M09,"631,693"
A065RC,1966M10,"635,992"
A065RC,1966M11,"640,877"
A065RC,1966M12,"642,013"
A065RC,1967M01,"648,038"
A065RC,1967M02,"649,576"
A065RC,1967M03,"653,878"
A065RC,1967M04,"654,432"
A065RC,1967M05,"656,892"
A065RC,1967M06,"661,591"
A065RC,1967M07,"667,239"
A065RC,1967M08,"672,473"
A065RC,1967M09,"675,043"
A065RC,1967M10,"677,808"
A065RC,1967M11,"684,359"
A065RC,1967M12,"687,357"
A065RC,1968M01,"694,326"
A065RC,1968M02,"702,461"
A065RC,1968M03,"710,768"
A065RC,1968M04,"716,187"
A065RC,1968M05,"722,600"
A065RC,1968M06,"728,274"
A065RC,1968M07,"734,957"
A065RC,1968M08,"741,360"
A065RC,1968M09,"747,434"
A065RC,1968M10,"751,994"
A065RC,1968M11,"757,959"
A065RC,1968M12,"762,615"
A065RC,1969M01,"766,295"
A065RC,1969M02,"771,830"
A065RC,1969M03,"778,950"
A065RC,1969M04,"784,266"
A065RC,1969M05,"790,507"
A065RC,1969M06,"797,057"
A065RC,1969M07,"804,955"
A065RC,1969M08,"812,207"
A065RC,1969M09,"817,695"
A065RC,1969M10,"822,011"
A065RC,1969M11,"826,372"
A065RC,1969M12,"831,899"
A065RC,1970M01,"836,370"
A065RC,1970M02,"841,751"
A065RC,1970M03,"847,103"
A065RC,1970M04,"859,874"
A065RC,1970M05,"857,656"
A065RC,1970M06,"862,568"
A065RC,1970M07,"870,571"
A065RC,1970M08,"875,080"
A065RC,1970M09,"878,387"
A065RC,1970M10,"879,695"
A065RC,1970M11,"882,269"
A065RC,1970M12,"889,210"
A065RC,1971M01,"898,774"
A065RC,1971M02,"903,189"
A065RC,1971M03,"909,014"
A065RC,1971M04,"915,012"
A065RC,1971M05,"922,366"
A065RC,1971M06,"943,819"
A065RC,1971M07,"934,848"
A065RC,1971M08,"940,768"
A065RC,1971M09,"947,729"
A065RC,1971M10,"951,818"
A065RC,1971M11,"958,635"
A065RC,1971M12,"967,443"
A065RC,1972M01,"976,100"
A065RC,1972M02,"987,919"
A065RC,1972M03,"995,594"
A065RC,1972M04,"998,458"
A065RC,1972M05,"1,004,878"
A065RC,1972M06,"1,009,222"
A065RC,1972M07,"1,018,967"
A065RC,1972M08,"1,031,418"
A065RC,1972M09,"1,039,975"
A065RC,1972M10,"1,065,147"
A065RC,1972M11,"1,079,188"
A065RC,1972M12,"1,086,633"
A065RC,1973M01,"1,085,577"
A065RC,1973M02,"1,095,281"
A065RC,1973M03,"1,104,376"
A065RC,1973M04,"1,114,736"
A065RC,1973M05,"1,125,118"
A065RC,1973M06,"1,134,726"
A065RC,1973M07,"1,142,205"
A065RC,1973M08,"1,151,955"
A065RC,1973M09,"1,163,400"
A065RC,1973M10,"1,180,185"
A065RC,1973M11,"1,192,587"
A065RC,1973M12,"1,199,206"
A065RC,1974M01,"1,200,363"
A065RC,1974M02,"1,207,053"
A065RC,1974M03,"1,213,062"
A065RC,1974M04,"1,220,909"
A065RC,1974M05,"1,234,065"
A065RC,1974M06,"1,243,688"
A065RC,1974M07,"1,257,812"
A065RC,1974M08,"1,268,828"
A065RC,1974M09,"1,280,662"
A065RC,1974M10,"1,294,003"
A065RC,1974M11,"1,295,954"
A065RC,1974M12,"1,305,409"
A065RC,1975M01,"1,312,281"
A065RC,1975M02,"1,318,771"
A065RC,1975M03,"1,324,213"
A065RC,1975M04,"1,330,304"
A065RC,1975M05,"1,343,790"
A065RC,1975M06,"1,375,775"
A065RC,1975M07,"1,372,265"
A065RC,1975M08,"1,388,503"
A065RC,1975M09,"1,398,665"
A065RC,1975M10,"1,413,388"
A065RC,1975M11,"1,422,391"
A065RC,1975M12,"1,432,341"
A065RC,1976M01,"1,447,232"
A065RC,1976M02,"1,457,538"
A065RC,1976M03,"1,463,567"
A065RC,1976M04,"1,472,534"
A065RC,1976M05,"1,481,244"
A065RC,1976M06,"1,489,934"
A065RC,1976M07,"1,506,711"
A065RC,1976M08,"1,519,297"
A065RC,1976M09,"1,529,152"
A065RC,1976M10,"1,536,666"
A065RC,1976M11,"1,557,190"
A065RC,1976M12,"1,570,708"
A065RC,1977M01,"1,572,169"
A065RC,1977M02,"1,589,607"
A065RC,1977M03,"1,604,664"
A065RC,1977M04,"1,620,938"
A065RC,1977M05,"1,633,221"
A065RC,1977M06,"1,644,903"
A065RC,1977M07,"1,662,608"
A065RC,1977M08,"1,676,901"
A065RC,1977M09,"1,693,733"
A065RC,1977M10,"1,716,310"
A065RC,1977M11,"1,739,786"
