date,value
1948,103068
1949,103994
1950,104996
1951,104622
1952,105229
1953,107055
1954,108321
1955,109683
1956,110954
1957,112266
1958,113725
1959,115331
1960,117245
1961,118770
1962,120153
1963,122416
1964,124485
1965,126513
1966,128058
1967,129873
1968,132027
1969,134335
1970,137086
1971,140216
1972,144125
1973,147097
1974,150121
1975,153153
1976,156149
1977,159033
1978,161911
1979,164865
1980,167746
1981,170130
1982,172271
1983,174216
1984,176383
1985,178206
1986,180587
1987,182753
1988,184613
1989,186393
1990,189164
1991,190925
1992,192805
1993,194838
1994,196815
1995,198584
1996,200591
1997,203133
1998,205220
1999,207753
2000,212577
2001,215093
2002,217570
2003,221168
2004,223357
2005,226083
2006,228815
2007,231867
2008,233788
2009,235801
2010,237829
2011,239618
2012,243284
2013,245679
2014,247947
2015,250801
2016,253538
2017,255079
2018,257791
2019,259175
2020,260329
2021,.
