%SeriesCode,SeriesLabel,MetricName,CalculationType,DefaultScale,TableId:LineNo,SeriesCodeParents
A001RC,"Gross national product","Current Dollars","Level",-6,T10705:4|T11705:6,NONE
A001RD,"Gross national product","Chained Dollar IPDs","Level",0,T10109:27,NONE
A001RG,"Equals: Gross national product","Fisher Price Index","Level",0,T10704:4,NONE
A001RI,"Gross national product","Chained Dollar IPDs","Percent change, annual rate",0,T10107:29,NONE
A001RL,"Gross national product","Fisher Quantity Index","Percent change, annual rate",0,T10701:4|T10803:17|T11701:6,NONE
A001RO,"Gross national product","Fisher Quantity Index","Percent change, year ago",0,T10111:33,NONE
A001RP,"Gross national product, current dollars","Current Dollars","Percent change, annual rate",0,T10701:17,NONE
A001RV,"Gross national product","Fisher Price Index","Percent change, annual rate",0,T10107:27,NONE
A001RX,"Gross national product","Chained Dollars","Level",-6,T10706:4|T11706:6,NONE
A006AX,"Gross private domestic investment","Chained Dollars","Level",-6,T10106A:7,NONE
A006BX,"Gross private domestic investment","Chained Dollars","Level",-6,T10106B:7,NONE
A006CX,"Gross private domestic investment","Chained Dollars","Level",-6,T10106C:7,NONE
A006DX,"Gross private domestic investment","Chained Dollars","Level",-6,T10106D:7,NONE
A006RA,"Gross private domestic investment","Fisher Quantity Index","Level",0,IntlStyl4:21|T10103:7|T10503:26|T50203:4|U50203:4,NONE
A006RC,"Gross private domestic investment","Current Dollars","Level",-6,IntlStyl1:21|T10105:7|T10505:26|T50100:22|T50205:4|T71200:7|U50205:4,A191RC|W170RC
A006RD,"Gross private domestic investment","Chained Dollar IPDs","Level",0,T10109:7,NONE
A006RE,"Gross private domestic investment","Current Dollar Shares","Level",0,T10110:7,NONE
A006RJ,"Gross private domestic investment","Price Contributions","Level",0,T10108:7,NONE
A006RL,"Gross private domestic investment","Fisher Quantity Index","Percent change, annual rate",0,T10101:7|T10501:26,NONE
A006RS,"Gross private domestic investment","Price Contributions","Level",0,T10608:24,NONE
A006RV,"Gross private domestic investment","Fisher Price Index","Percent change, annual rate",0,T10107:7|T10607:24,NONE
A006RX,"Gross private domestic investment","Chained Dollars","Level",-6,IntlStyl2:22|T10106:7|T10506:26|T50206:4|U50206:4,NONE
A006RY,"Gross private domestic investment","Quantity Contributions","Level",0,T10102:7|T10502:26,NONE
A007AX,"Fixed investment","Chained Dollars","Level",-6,T10106A:8,NONE
A007BX,"Fixed investment","Chained Dollars","Level",-6,T10106B:8,NONE
A007CX,"Fixed investment","Chained Dollars","Level",-6,T10106C:8,NONE
A007DX,"Fixed investment","Chained Dollars","Level",-6,T10106D:8,NONE
A007RA,"Private fixed investment","Fisher Quantity Index","Level",0,T10103:8|T10503:27|T50203:7|T50303:1|U50203:7,NONE
A007RC,"Private fixed investment","Current Dollars","Level",-6,T10105:8|T10505:27|T50205:7|T50305:1|T51000:9|U50205:7,A006RC|W172RC
A007RD,"Fixed investment","Chained Dollar IPDs","Level",0,T10109:8,NONE
A007RE,"Fixed investment","Current Dollar Shares","Level",0,T10110:8,NONE
A007RJ,"Fixed investment","Price Contributions","Level",0,T10108:8,NONE
A007RL,"Private fixed investment","Fisher Quantity Index","Percent change, annual rate",0,T10101:8|T10501:27|T50301:1|T50302:1,NONE
A007RO,"Fixed investment","Fisher Quantity Index","Percent change, year ago",0,T10111:8,NONE
A007RS,"Fixed investment","Price Contributions","Level",0,T10608:25,NONE
A007RV,"Fixed investment","Fisher Price Index","Percent change, annual rate",0,T10107:8|T10607:25,NONE
A007RX,"Private fixed investment","Chained Dollars","Level",-6,T10106:8|T10506:27|T50206:7|T50306:1|U50206:7,NONE
A007RY,"Fixed investment","Quantity Contributions","Level",0,T10102:8|T10502:27,NONE
A008AX,"Nonresidential","Chained Dollars","Level",-6,T10106A:9,NONE
A008BX,"Nonresidential","Chained Dollars","Level",-6,T10106B:9,NONE
A008CX,"Nonresidential","Chained Dollars","Level",-6,T10106C:9,NONE
A008DX,"Nonresidential","Chained Dollars","Level",-6,T10106D:9,NONE
A008RA,"Nonresidential","Fisher Quantity Index","Level",0,T10103:9|T10503:28|T50203:10|T50303:2|U50203:10,NONE
A008RC,"Nonresidential","Current Dollars","Level",-6,T10105:9|T10505:28|T50205:10|T50305:2|T51000:10|U50205:10,A007RC
A008RD,"Nonresidential","Chained Dollar IPDs","Level",0,T10109:9,NONE
A008RE,"Nonresidential","Current Dollar Shares","Level",0,T10110:9,NONE
A008RJ,"Nonresidential","Price Contributions","Level",0,T10108:9,NONE
A008RL,"Nonresidential","Fisher Quantity Index","Percent change, annual rate",0,T10101:9|T10501:28|T50301:2,NONE
A008RO,"Nonresidential","Fisher Quantity Index","Percent change, year ago",0,T10111:9,NONE
A008RS,"Nonresidential","Price Contributions","Level",0,T10608:26,NONE
A008RV,"Nonresidential","Fisher Price Index","Percent change, annual rate",0,T10107:9|T10607:26,NONE
A008RX,"Nonresidential","Chained Dollars","Level",-6,T10106:9|T10506:28|T50206:10|T50306:2|U50206:10,NONE
